test_preparation_course,math_score,reading_score,writing_score,total_score,gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental_level_of_education_bachelor's degree,parental_level_of_education_high school,parental_level_of_education_master's degree,parental_level_of_education_some college,parental_level_of_education_some high school,lunch_standard
0,0.72,0.6626506024096386,0.711111111111111,0.6996336996336996,False,True,False,False,False,True,False,False,False,False,True
1,0.69,0.8795180722891567,0.8666666666666667,0.8058608058608059,False,False,True,False,False,False,False,False,True,False,True
0,0.8999999999999999,0.9397590361445783,0.9222222222222223,0.9194139194139195,False,True,False,False,False,False,False,True,False,False,True
0,0.47,0.4819277108433735,0.37777777777777777,0.4432234432234432,True,False,False,False,False,False,False,False,False,False,False
0,0.76,0.7349397590361446,0.7222222222222222,0.73992673992674,True,False,True,False,False,False,False,False,True,False,True
0,0.71,0.7951807228915663,0.7555555555555555,0.7509157509157509,False,True,False,False,False,False,False,False,False,False,True
1,0.88,0.9397590361445783,0.9111111111111111,0.9084249084249084,False,True,False,False,False,False,False,False,True,False,True
0,0.4,0.3132530120481927,0.32222222222222224,0.347985347985348,True,True,False,False,False,False,False,False,True,False,False
1,0.64,0.5662650602409639,0.6333333333333333,0.6153846153846154,True,False,False,True,False,False,True,False,False,False,False
0,0.38,0.5180722891566265,0.4444444444444444,0.4432234432234432,False,True,False,False,False,False,True,False,False,False,False
0,0.58,0.4457831325301205,0.4666666666666667,0.5018315018315018,True,False,True,False,False,False,False,False,False,False,True
0,0.4,0.4216867469879518,0.3666666666666667,0.39560439560439564,True,False,False,True,False,False,False,False,False,False,True
0,0.65,0.7710843373493976,0.7,0.7032967032967034,False,True,False,False,False,False,True,False,False,False,True
1,0.78,0.6626506024096386,0.6666666666666666,0.706959706959707,True,False,False,False,False,False,False,False,True,False,True
0,0.5,0.4337349397590361,0.5333333333333333,0.4908424908424909,False,False,False,False,False,False,False,True,False,False,True
0,0.69,0.6987951807228916,0.7555555555555555,0.7142857142857143,False,False,True,False,False,False,False,False,False,True,True
0,0.88,0.8674698795180723,0.8444444444444444,0.8644688644688645,True,False,True,False,False,False,True,False,False,False,True
0,0.18000000000000005,0.1807228915662651,0.19999999999999996,0.18681318681318693,False,True,False,False,False,False,False,False,False,True,False
1,0.45999999999999996,0.3012048192771084,0.4,0.391941391941392,True,False,True,False,False,False,False,True,False,False,False
0,0.54,0.49397590361445787,0.5666666666666667,0.5347985347985348,False,False,True,False,False,False,False,False,False,False,False
0,0.6599999999999999,0.6265060240963856,0.5888888888888889,0.6263736263736264,True,False,False,True,False,False,True,False,False,False,True
1,0.65,0.6987951807228916,0.6666666666666666,0.6703296703296704,False,True,False,False,False,False,False,False,True,False,False
0,0.44,0.4457831325301205,0.47777777777777775,0.4542124542124542,True,False,False,True,False,False,False,False,True,False,True
0,0.69,0.674698795180723,0.7,0.6886446886446886,False,False,True,False,False,False,False,False,False,True,True
1,0.74,0.6506024096385542,0.7777777777777777,0.7252747252747253,True,False,False,True,False,True,False,False,False,False,False
0,0.73,0.6867469879518072,0.6888888888888889,0.7032967032967034,True,False,False,False,False,False,False,True,False,False,False
0,0.69,0.4457831325301205,0.5,0.5531135531135531,True,True,False,False,False,False,False,False,True,False,True
0,0.6699999999999999,0.6265060240963856,0.7222222222222222,0.673992673992674,False,False,True,False,False,True,False,False,False,False,True
0,0.7,0.6385542168674699,0.611111111111111,0.652014652014652,True,False,True,False,False,False,True,False,False,False,True
0,0.62,0.6385542168674699,0.7222222222222222,0.6593406593406593,False,False,False,True,False,False,False,True,False,False,True
0,0.69,0.6867469879518072,0.711111111111111,0.6959706959706959,False,False,False,True,False,False,False,False,True,False,True
0,0.63,0.5783132530120482,0.5666666666666667,0.5934065934065934,False,True,False,False,False,False,False,False,True,False,True
0,0.5599999999999999,0.6626506024096386,0.611111111111111,0.6080586080586081,False,False,False,False,True,False,False,True,False,False,False
0,0.4,0.3012048192771084,0.3111111111111111,0.34065934065934067,True,False,False,True,False,False,False,False,True,False,True
0,0.97,0.8433734939759037,0.7999999999999999,0.8754578754578755,True,False,False,False,True,False,False,False,True,False,True
